"NºDePatrimonio";"DescrDoBem";"Fornecedor";"Marca";"Comentarios";"FormaAquis";"DocDeEntrada";"DataAquis";"ValorAquis";"CódigoDoFuncionário";"NúmeroDoDepartamento";"CódigoDaCategoriaDoBem";"CódDoGrupoDoBem";"SituaçAtualDoBem"
889;"Armário PA";"Anita Scala Dias - ME";;"Balcão ( padrão mogno )";"Comprado";;"20/02/01";;42;9;1;1;"Ativo"
890;"Cadeira Diretor";"Anita Scala Dias - ME";;"Base fixa ( preta - curvim )";;;"20/02/01";;44;22;1;1;"Ativo"
891;"Cadeira Diretor";"Anita Scala Dias - ME";;"Base fixa ( preta - curvim )";;;"20/02/01";;58;40;1;1;"Ativo"
892;"Cadeira Diretor";"Anita Scala Dias - ME";;"Base fixa ( preta - curvim )";;;"20/02/01";;38;16;1;1;"Ativo"
893;"Cadeira Diretor";"Anita Scala Dias - ME";;"Base fixa ( preta - curvim )";;;"20/02/01";;45;23;1;1;"Ativo"
894;"Cadeira Diretor";"Anita Scala Dias - ME";;"Base fixa ( preta - curvim )";;;"20/02/01";;38;16;1;1;"Ativo"
895;"Cadeira Diretor";"Anita Scala Dias - ME";;"Base fixa ( preta - curvim )";;;"20/02/01";;4;6;1;1;"Ativo"
896;"Cadeira Diretor";"Anita Scala Dias - ME";;"Base fixa ( preta - curvim )";;;"20/02/01";;40;18;1;1;"Ativo"
897;"Cadeira Diretor";"Anita Scala Dias - ME";;"Base fixa ( preta - curvim )";;;"20/02/01";;44;22;1;1;"Ativo"
898;"Cadeira - Presidente";"Anita Scala Dias - ME";;"Base giratória ( preta - curvim )";;;"20/02/01";;22;1;1;1;"Ativo"
899;"Livro LRF";"Ed Revista dos Tribunais";;"Livro Sobre Lei de Responsabilidade Fiscal";;;"23/02/01";;22;30;;;"Ativo"
900;"Condicionador de ar";"S.T. Comercial Ltda.";;"Consul - cap. 21.000BTU/H - Frio  -  Mod. CCF-21A";;;"08/03/01";;57;39;1;3;"Baixado"
901;"Bloqueador telefônico ";"C&C - Casa&Constr.";"Amelco";"C/ chave - YSDCCB";;;"09/03/01";;55;40;;;"Baixado"
902;"Bloqueador telefônico ";"C&C - Casa&Constr.";"Amelco";"C/ chave - YSDCCB";;;"09/03/01";;55;40;1;3;"Baixado"
903;"Aparelho de Fax";"Wal-Mart Brasil Ltda";"Panasonic";"KX-FT21LA";;;"10/04/01";;55;40;1;1;"Baixado"
904;"Aparelho de Fax";"Wal-Mart Brasil Ltda";"Panasonic";"KX-FT21LA";;;"10/04/01";;55;40;1;1;"Baixado"
905;"Aparelho de Fax";"Wal-Mart Brasil Ltda";"Panasonic";"KX-FT21LA";;;"10/04/01";;58;40;1;1;"Ativo"
906;"Aparelho de Fax";"Wal-Mart Brasil Ltda";"Panasonic";"KX-FT21LA";;;"10/04/01";;57;39;1;1;"Baixado"
907;"Aparelho de Fax";"Wal-Mart Brasil Ltda";"Panasonic";"KX-FT21LA";;;"10/04/01";;56;40;1;1;"Ativo"
908;"Aparelho de Fax";"Wal-Mart Brasil Ltda";"Panasonic";"KX-FT21LA";;;"10/04/01";;53;26;1;1;"Ativo"
909;"Aparelho de Fax";"Wal-Mart Brasil Ltda";"Panasonic";"KX-FT21LA";;;"10/04/01";;8;4;1;1;"Ativo"
910;"Aparelho de Fax";"Wal-Mart Brasil Ltda";"Panasonic";"KX-FT21LA";;;"10/04/01";;57;39;1;1;"Ativo"
911;"Aparelho de Fax";"Wal-Mart Brasil Ltda";"Panasonic";"KX-FT21LA";;" - Baixa Patrimonial: Projeto de Resolução Nº 004/2006";"10/04/01";;57;39;1;1;"Baixado"
912;"Aparelho de Fax";"Wal-Mart Brasil Ltda";"Panasonic";"KX-FT21LA";;;"10/04/01";;56;40;1;1;"Ativo"
913;"Aparelho de Fax";"Wal-Mart Brasil Ltda";"Panasonic";"KX-FT21LA";;;"10/04/01";;55;40;1;1;"Baixado"
914;"Aparelho de Fax";"Wal-Mart Brasil Ltda";"Panasonic";"KX-FT21LA";;;"10/04/01";;56;40;1;1;"Ativo"
915;"Aparelho de Fax";"Wal-Mart Brasil Ltda";"Panasonic";"KX-FT21LA";;;"10/04/01";;56;40;1;1;"Ativo"
916;"Aparelho de Fax";"Wal-Mart Brasil Ltda";"Panasonic";"KX-FT21LA";;;"10/04/01";;57;39;1;1;"Ativo"
917;"Aparelho de Fax";"Wal-Mart Brasil Ltda";"Panasonic";"KX-FT21LA";;;"10/04/01";;55;40;1;1;"Baixado"
918;"Calculadora de mesa";"Kalunga";"Casio";"Fr-510gybu - Casio";;;"10/04/01";;57;39;1;1;"Baixado"
919;"Calculadora de mesa";"Kalunga";"Casio";"Fr-510gybu - Casio";;;"10/04/01";;55;40;1;1;"Baixado"
920;"Telefone";"Kalunga";"Dynacon";"Ta-3000 ( grafite )";;;"10/04/01";;55;40;1;1;"Baixado"
921;"Telefone";"Kalunga";"Dynacon";"Ta-3000 ( grafite )";;" - Baixa Patrimonial: Projeto de Resolução Nº 004/2006";"10/04/01";;57;39;1;1;"Baixado"
922;"Telefone";"Kalunga";"Dynacon";"Ta-3000 ( grafite )";;" - Baixa Patrimonial: Projeto de Resolução Nº 004/2006";"10/04/01";;57;39;;;"Baixado"
923;"Telefone";"Kalunga";"Dynacon";"Ta-3000 ( grafite )";;;"10/04/01";;57;39;1;1;"Baixado"
924;"Telefone";"Kalunga";"Dynacon";"Ta-3000 ( grafite )";;;"10/04/01";;55;40;1;1;"Baixado"
925;"Telefone";"Kalunga";"Dynacon";"Ta-3000 ( grafite )";;;"10/04/01";;57;39;1;1;"Baixado"
926;"Telefone";"Kalunga";"Dynacon";"Ta-3000 ( azul )";;;"10/04/01";;55;40;1;1;"Baixado"
927;"Telefone";"Kalunga";"Dynacon";"Ta-3000 ( azul )";;" - Baixa Patrimonial: Projeto de Resolução Nº 004/2006";"10/04/01";;51;39;;;"Baixado"
928;"Telefone";"Kalunga";"Dynacon";"Ta-3000 ( azul )";;;"10/04/01";;55;40;1;1;"Baixado"
929;"Telefone";"Kalunga";"Dynacon";"Ta-3000 ( azul )";;" - Baixa Patrimonial: Projeto de Resolução Nº 004/2006";"10/04/01";;57;39;1;1;"Baixado"
930;"Telefone";"Kalunga";"Dynacon";"Ta-3000 ( azul )";;;"10/04/01";;57;39;1;1;"Baixado"
931;"Telefone";"Kalunga";"Dynacon";"Ta-3000 ( azul )";;;"10/04/01";;57;39;1;1;"Baixado"
932;"Telefone";"Kalunga";"Dynacon";"Ta-3000 ( azul )";;" - Baixa Patrimonial: Projeto de Resolução Nº 004/2006";"10/04/01";;57;39;1;1;"Baixado"
933;"Telefone";"Kalunga";"Dynacon";"Ta-3000 ( azul )";;" - Baixa Patrimonial: Projeto de Resolução Nº 004/2006";"10/04/01";;57;39;1;1;"Baixado"
934;"Telefone";"Kalunga";"Dynacon";"Ta-3000 ( azul )";;" - Baixa Patrimonial: Projeto de Resolução Nº 004/2006";"10/04/01";;57;39;1;1;"Baixado"
935;"Bebedouro.";"A.G. Rebelo";"Belliere";"Inox - Gar.20Lts";;;"18/04/01";;22;30;1;1;"Baixado"
936;"Bebedouro.";"A.G. Rebelo";"Belliere";"Inox - Gar.20Lts";;;"18/04/01";;57;39;1;2;"Baixado"
937;"Cafeteira elétrica";"A.G. Rebelo";"Marchesoni";"Cap. 08Lts";;;"18/04/01";;22;30;1;3;"Baixado"
938;"Automatiz. Pivô Duplo ";"Star Circuit - Equip. de Segurança - Ltda. ME";"PPA";"Conj. de automatiz.p/ portão ( 2 folhas de abrir )";;;"26/04/01";;55;40;1;3;"Baixado"
939;"Impressora de cheques";"Acil - Ltda.";"Chronos";"Matricial - Mod.Mult 31100";"Comprado";;"17/05/01";;56;40;1;4;"Ativo"
940;"Microcomputador";"Ágilis";;"PIII - 750Mhz - HD20 - 128Mb - C/ Monitor 14"" (Philips)";;" - Baixa Patrimonial: Projeto de Resolução Nº 004/2006";"18/05/01";;57;39;1;4;"Baixado"
941;"Microcomputador";"Ágilis";;"PIII - 750Mhz - HD20 - 128Mb - C/ Monitor 14"" (Philips)";;" - Baixa Patrimonial: Projeto de Resolução Nº 004/2006";"18/05/01";;57;39;1;4;"Baixado"
942;"Microcomputador";"Ágilis";;"PIII - 750Mhz - HD20 - 128Mb - C/ Monitor 14"" (Philips)";;" - Baixa Patrimonial: Projeto de Resolução Nº 004/2006";"18/05/01";;57;39;1;4;"Baixado"
943;"Microcomputador";"Ágilis";;"PIII - 750Mhz - HD20 - 128Mb - C/ Monitor 14"" (Philips)";;" - Baixa Patrimonial: Projeto de Resolução Nº 004/2006";"18/05/01";;57;39;1;4;"Baixado"
944;"Microcomputador";"Ágilis";;"PIII - 750Mhz - HD20 - 128Mb - C/ Monitor 14"" (Philips)";;" - Baixa Patrimonial: Projeto de Resolução Nº 004/2006";"18/05/01";;57;39;1;4;"Baixado"
945;"Impressora";"Wal-Mart Brasil Ltda";;"HP - Deskjet - 640c";;" - Baixa Patrimonial: Projeto de Resolução Nº 004/2006";"22/05/01";;57;39;1;4;"Baixado"
946;"Impressora";"Wal-Mart Brasil Ltda";;"HP - Deskjet - 640c";;" - Baixa Patrimonial: Projeto de Resolução Nº 004/2006";"22/05/01";;57;39;1;4;"Baixado"
947;"Impressora";"Wal-Mart Brasil Ltda";;"HP - Deskjet - 640c";;" - Baixa Patrimonial: Projeto de Resolução Nº 004/2006";"22/05/01";;57;39;1;4;"Baixado"
948;"Impressora";"Wal-Mart Brasil Ltda";;"HP - Deskjet - 640c";;" - Baixa Patrimonial: Projeto de Resolução Nº 004/2006";"22/05/01";;57;39;1;4;"Baixado"
949;"Hub.";"Francisco de Assis";;"08 portas - 10/100Bps";;;"13/06/01";;55;6;1;4;"Ativo"
950;"Hub.";"Francisco de Assis";;"08 portas - 10/100Bps";;;"13/06/01";;55;6;;;"Ativo"
951;;"Renovart - Ltda - ME";;"Poliéster ( Grafite )  ";;;"22/06/01";;57;39;;;"Baixado"
952;"Persiana vertical";"Renovart - Ltda - ME";;"Poliéster ( Grafite )  ";;;"22/06/01";;22;34;;;"Ativo"
953;"Persiana vertical";"Renovart - Ltda - ME";;"Poliéster ( Grafite )  ";;;"22/06/01";;55;40;;;"Baixado"
954;"Persiana vertical";"Renovart - Ltda - ME";;"Poliéster ( Grafite )  ";;;"22/06/01";;57;39;;;"Baixado"
955;"Persiana vertical";"Renovart - Ltda - ME";;"Poliéster ( Grafite )  ";;;"22/06/01";;57;39;;;"Baixado"
956;"Persiana vertical";"Renovart - Ltda - ME";;"Poliéster ( Grafite )  ";;;"22/06/01";;55;40;;;"Baixado"
957;"Livro";"Ivanda Stivalli - ME";;"Curso de Dir.Constitucional Positivo ";;;"19/07/01";;56;40;1;5;"Ativo"
958;"Livro";"Ivanda Stivalli - ME";;"Direito Administrativo brasileiro";;;"19/07/01";;56;40;1;5;"Ativo"
959;"Gol 1,0 ";"Volkswagen do Brasil Ltda";"VW";"Branco Geada - 62 HP - 4 Portas";;;"09/08/01";;57;39;1;7;"Baixado"
960;"Gol 1,0 ";"Volkswagen do Brasil Ltda";"VW";"Branco Geada - 62 HP - 4 Portas, Chassi nº 98WCAO5X41P134945.";;;"09/08/01";;57;39;1;7;"Baixado"
961;"Livro";"Luiz Bueno Brandão";;"Universo Jurídico - CD";;;"27/08/01";;56;40;1;5;"Ativo"
962;"Lex Leg Federal e Marginalia";"Lex Editora S/A";;"1999/2000 I/XII";;;"18/12/01";;56;40;1;5;"Ativo"
963;"Lex Leg Federal e Marginalia";"Lex Editora S/A";;"1999/2000 I/XII";;;"18/12/01";;56;40;1;5;"Ativo"
964;"Lex Leg Federal e Marginalia";"Lex Editora S/A";;"1999/2000 I/XII";;;"18/12/01";;56;40;1;5;"Ativo"
965;"Lex Leg Federal e Marginalia";"Lex Editora S/A";;"1999/2000 I/XII";;;"18/12/01";;56;40;1;5;"Ativo"
966;"Lex Leg Federal e Marginalia";"Lex Editora S/A";;"1999/2000 I/XII";;;"18/12/01";;56;40;1;5;"Ativo"
967;"Lex Leg Federal e Marginalia";"Lex Editora S/A";;"1999/2000 I/XII";;;"18/12/01";;56;40;1;5;"Ativo"
968;"Lex Leg Federal e Marginalia";"Lex Editora S/A";;"1999/2000 I/XII";;;"18/12/01";;56;40;1;5;"Ativo"
969;"Lex Leg Federal e Marginalia";"Lex Editora S/A";;"1999/2000 I/XII";;;"18/12/01";;56;40;1;5;"Ativo"
970;"Lex Leg Federal e Marginalia";"Lex Editora S/A";;"1999/2000 I/XII";;;"18/12/01";;56;40;1;5;"Ativo"
971;"Lex Leg Federal e Marginalia";"Lex Editora S/A";;"1999/2000 I/XII";;;"18/12/01";;56;40;1;5;"Ativo"
972;"Lex Leg Federal e Marginalia";"Lex Editora S/A";;"1999/2000 I/XII";;;"18/12/01";;56;40;1;5;"Ativo"
973;"Lex Leg Federal e Marginalia";"Lex Editora S/A";;"1999/2000 I/XII";;;"18/12/01";;56;40;1;5;"Ativo"
974;"Lex Leg Federal e Marginalia";"Lex Editora S/A";;"1999/2000 I/XII";;;"18/12/01";;56;40;1;5;"Ativo"
975;"Lex Leg Federal e Marginalia";"Lex Editora S/A";;"1999/2000 I/XII";;;"18/12/01";;56;40;1;5;"Ativo"
976;"Lex Leg Federal e Marginalia";"Lex Editora S/A";;"1999/2000 I/XII";;;"18/12/01";;56;40;1;5;"Ativo"
977;"Lex Leg Federal e Marginalia";"Lex Editora S/A";;"1999/2000 I/XII";;;"18/12/01";;56;40;1;5;"Ativo"
978;"Lex Leg Federal e Marginalia";"Lex Editora S/A";;"1999/2000 I/XII";;;"18/12/01";;56;40;1;5;"Ativo"
979;"Lex Leg Federal e Marginalia";"Lex Editora S/A";;"1999/2000 I/XII";;;"18/12/01";;56;40;1;5;"Ativo"
980;"Lex Leg Federal e Marginalia";"Lex Editora S/A";;"1999/2000 I/XII";;;"18/12/01";;56;40;1;5;"Ativo"
981;"Lex Leg Federal e Marginalia";"Lex Editora S/A";;"1999/2000 I/XII";;;"18/12/01";;56;40;1;5;"Ativo"
982;"Lex Leg Federal e Marginalia";"Lex Editora S/A";;"1999/2000 I/XII";;;"18/12/01";;56;40;1;5;"Ativo"
983;"Lex Leg Federal e Marginalia";"Lex Editora S/A";;"1999/2000 I/XII";;;"18/12/01";;56;40;1;5;"Ativo"
984;"Lex Leg Federal e Marginalia";"Lex Editora S/A";;"1999/2000 I/XII";;;"18/12/01";;56;40;1;5;"Ativo"
985;"Lex Leg Federal e Marginalia";"Lex Editora S/A";;"1999/2000 I/XII";;;"18/12/01";;56;40;1;5;"Ativo"
986;"Lex Leg Federal e Marginalia";"Lex Editora S/A";;"1999/2000 I/XII";;;"18/12/01";;56;40;1;5;"Ativo"
987;"Lex Leg Federal e Marginalia";"Lex Editora S/A";;"Jan/Ago 2001 Vol I/VIII";;;"18/12/01";;56;40;1;5;"Ativo"
988;"Lex Leg Federal e Marginalia";"Lex Editora S/A";;"Jan/Ago 2001 Vol I/VIII";;;"18/12/01";;56;40;1;5;"Ativo"
989;"Lex Leg Federal e Marginalia";"Lex Editora S/A";;"Jan/Ago 2001 Vol I/VIII";;;"18/12/01";;56;40;1;5;"Ativo"
990;"Lex Leg Federal e Marginalia";"Lex Editora S/A";;"Jan/Ago 2001 Vol I/VIII";;;"18/12/01";;56;40;1;5;"Ativo"
991;"Lex Leg Federal e Marginalia";"Lex Editora S/A";;"Jan/Ago 2001 Vol I/VIII";;;"18/12/01";;56;40;1;5;"Ativo"
992;"Lex Leg Federal e Marginalia";"Lex Editora S/A";;"Jan/Ago 2001 Vol I/VIII";;;"18/12/01";;56;40;1;5;"Ativo"
993;"Lex Leg Federal e Marginalia";"Lex Editora S/A";;"Jan/Ago 2001 Vol I/VIII";;;"18/12/01";;56;40;1;5;"Ativo"
994;"Lex Leg Federal e Marginalia";"Lex Editora S/A";;"Jan/Ago 2001 Vol I/VIII";;;"18/12/01";;56;40;1;5;"Ativo"
995;"Lex Leg Est SP e Municipio SP";"Lex Editora S/A";;"99/00 I/II";;;"18/12/01";;56;40;1;5;"Ativo"
996;"Lex Leg Est SP e Municipio SP";"Lex Editora S/A";;"99/00 I/II";;;"18/12/01";;56;40;1;5;"Ativo"
997;"Lex Leg Est SP e Municipio SP";"Lex Editora S/A";;"99/00 I/II";;;"18/12/01";;56;40;1;5;"Ativo"
998;"Lex Leg Est SP e Municipio SP";"Lex Editora S/A";;"99/00 I/II";;;"18/12/01";;56;40;1;5;"Ativo"
999;"Lex Leg Est SP e Municipio SP";"Lex Editora S/A";;"99/00 I/II";;;"18/12/01";;56;40;1;5;"Ativo"
1000;"Lex Leg Est SP e Municipio SP";"Lex Editora S/A";;"TOMO. I ASS/2001";;;"18/12/01";;56;40;1;5;"Ativo"
1001;"Lex Jurisprudencia do STF";"Lex Editora S/A";;"99/00 Vol 241";;;"18/12/01";;56;40;1;5;"Ativo"
1002;"Lex Jurisprudencia do STF";"Lex Editora S/A";;"99/00 Vol 242";;;"18/12/01";;56;40;1;5;"Ativo"
1003;"Lex Jurisprudencia do STF";"Lex Editora S/A";;"99/00 Vol 243";;;"18/12/01";;56;40;1;5;"Ativo"
1004;"Lex Jurisprudencia do STF";"Lex Editora S/A";;"99/00 Vol 244";;;"18/12/01";;56;40;1;5;"Ativo"
1005;"Lex Jurisprudencia do STF";"Lex Editora S/A";;"99/00 Vol 245";;;"18/12/01";;56;40;1;5;"Ativo"
1006;"Lex Jurisprudencia do STF";"Lex Editora S/A";;"99/00 Vol 246";;;"18/12/01";;56;40;1;5;"Ativo"
1007;"Lex Jurisprudencia do STF";"Lex Editora S/A";;"99/00 Vol 247";;;"18/12/01";;56;40;1;5;"Ativo"
1008;"Lex Jurisprudencia do STF";"Lex Editora S/A";;"99/00 Vol 248";;;"18/12/01";;56;40;1;5;"Ativo"
1009;"Lex Jurisprudencia do STF";"Lex Editora S/A";;"99/00 Vol 249";;;"18/12/01";;56;40;1;5;"Ativo"
1010;"Lex Jurisprudencia do STF";"Lex Editora S/A";;"99/00 Vol 250";;;"18/12/01";;56;40;1;5;"Ativo"
1011;"Lex Jurisprudencia do STF";"Lex Editora S/A";;"99/00 Vol 251";;;"18/12/01";;56;40;1;5;"Ativo"
1012;"Lex Jurisprudencia do STF";"Lex Editora S/A";;"99/00 Vol 252";;;"18/12/01";;56;40;1;5;"Ativo"
1013;"Lex Jurisprudencia do STF";"Lex Editora S/A";;"99/00 Vol 253";;;"18/12/01";;56;40;1;5;"Ativo"
1014;"Lex Jurisprudencia do STF";"Lex Editora S/A";;"99/00 Vol 254";;;"18/12/01";;56;40;1;5;"Ativo"
1015;"Lex Jurisprudencia do STF";"Lex Editora S/A";;"99/00 Vol 255";;;"18/12/01";;56;40;1;5;"Ativo"
1016;"Lex Jurisprudencia do STF";"Lex Editora S/A";;"99/00 Vol 256";;;"18/12/01";;56;40;1;5;"Ativo"
1017;"Lex Jurisprudencia do STF";"Lex Editora S/A";;"99/00 Vol 257";;;"18/12/01";;56;40;1;5;"Ativo"
1018;"Lex Jurisprudencia do STF";"Lex Editora S/A";;"99/00 Vol 258";;;"18/12/01";;56;40;1;5;"Ativo"
1019;"Lex Jurisprudencia do STF";"Lex Editora S/A";;"99/00 Vol 259";;;"18/12/01";;56;40;1;5;"Ativo"
1020;"Lex Jurisprudencia do STF";"Lex Editora S/A";;"99/00 Vol 260";;;"18/12/01";;56;40;1;5;"Ativo"
1021;"Lex Jurisprudencia do STF";"Lex Editora S/A";;"99/00 Vol 261";;;"18/12/01";;56;40;1;5;"Ativo"
1022;"Lex Jurisprudencia do STF";"Lex Editora S/A";;"99/00 Vol 262";;;"18/12/01";;56;40;1;5;"Ativo"
1023;"Lex Jurisprudencia do STF";"Lex Editora S/A";;"99/00 Vol 263";;;"18/12/01";;56;40;1;5;"Ativo"
1024;"Lex Jurisprudencia do STF";"Lex Editora S/A";;"99/00 Vol 264";;;"18/12/01";;56;40;1;5;"Ativo"
1025;"Lex Jurisprudencia do STF";"Lex Editora S/A";;"ASS /2001 Vol 265";;;"18/12/01";;56;40;1;5;"Ativo"
1026;"Lex Jurisprudencia do STF";"Lex Editora S/A";;"ASS/2001 Vol 266";;;"18/12/01";;56;40;1;5;"Ativo"
1027;"Lex Jurisprudencia do STF";"Lex Editora S/A";;"ASS/2001 Vol 267";;;"18/12/01";;56;40;1;5;"Ativo"
1028;"Lex Jurisprudencia do STF";"Lex Editora S/A";;"ASS/2001 Vol 268";;;"18/12/01";;56;40;1;5;"Ativo"
1029;"Lex Jurisprudencia do STF";"Lex Editora S/A";;"ASS/2001 Vol 269";;;"18/12/01";;56;40;1;5;"Ativo"
1030;"Lex Jurisprudencia do STF";"Lex Editora S/A";;"ASS/2001 Vol 270";;;"18/12/01";;56;40;1;5;"Ativo"
1031;"Lex Jurisprudencia do STF";"Lex Editora S/A";;"ASS/2001 Vol 271";;;"18/12/01";;56;40;1;5;"Ativo"
1032;"Livro";"Ed Revista dos Tribunais";;"Revista Tribunais Ano 1999 Vol 759/770";;;"18/12/01";;56;40;1;5;"Ativo"
1033;"Livro";"Ed Revista dos Tribunais";;"Revista Tribunais Ano 2000 Vol 771/782";;;"18/12/01";;56;40;1;5;"Ativo"
1034;"Livro";"Ed Revista dos Tribunais";;"Revista Tribunais Ano 2001 Vol 783/794";;;"18/12/01";;56;40;1;5;"Ativo"
1035;"Livro";"Ed Revista dos Tribunais";;"Revista Tribunais Ano 2001 - Suplementação";;;"18/12/01";;56;40;1;5;"Ativo"
1036;"Livro";"Ivanda Stivalli - ME";;"Código Civil";;;"18/12/01";;56;40;1;5;"Ativo"
1037;"Livro";"Ivanda Stivalli - ME";;"Código Processo Civil";;;"18/12/01";;56;40;1;5;"Ativo"
1038;"Ford/Fiesta STR";"Ford Motor Company Brasil Ltda";"Ford";"Branco Ártico (OXFORD) - 65 HP - 1,0 - 4 Portas, Chassi nº 9BFBRZFHA2B399444 - Placa CZA 9352.";;;"26/12/01";;57;39;1;7;"Baixado"
1039;"Ford/Fiesta STR";"Ford Motor Company Brasil Ltda";"Ford";"Branco Ártico (OXFORD) - 65 HP - 1,0 - 4 Portas, Chassi nº 9BFBRZFHA28399446 - Placa CZA 9346";;;"26/12/01";;57;39;1;7;"Baixado"
1040;"Monitor.";"Sun Set Informática Ltda";"Samsung";"Mod ST 15 V 100 - 15""";;" - Baixa Patrimonial: Projeto de Resolução Nº 004/2006";"26/12/01";;57;39;1;4;"Baixado"
1041;"Monitor.";"Sun Set Informática Ltda";"Samsung";"Mod ST 15 V 100 - 15""";;" - Baixa Patrimonial: Projeto de Resolução Nº 004/2006";"26/12/01";;57;39;1;4;"Baixado"
1042;"Monitor.";"Sun Set Informática Ltda";"Samsung";"Mod ST 15 V 100 - 15""";;;"26/12/01";;55;40;1;4;"Baixado"
1043;"Monitor.";"Sun Set Informática Ltda";"Samsung";"Mod ST 15 V 100 - 15""";;;"26/12/01";;55;40;1;4;"Baixado"
1044;"Monitor.";"Sun Set Informática Ltda";"Samsung";"Mod ST 15 V 100 - 15""";;;"26/12/01";;57;39;1;4;"Baixado"
1045;"Monitor.";"Sun Set Informática Ltda";"Samsung";"Mod ST 15 V 100 - 15""";;;"26/12/01";;55;40;1;4;"Baixado"
1046;"Monitor.";"Sun Set Informática Ltda";"Samsung";"Mod ST 15 V 100 - 15""";;;"26/12/01";;55;40;1;4;"Baixado"
1047;"Monitor.";"Sun Set Informática Ltda";"Samsung";"Mod ST 15 V 100 - 15""";;;"26/12/01";;55;40;1;4;"Baixado"
1048;"Monitor.";"Sun Set Informática Ltda";"Samsung";"Mod ST 15 V 100 - 15""";;" - Baixa Patrimonial: Projeto de Resolução Nº 004/2006";"26/12/01";;57;39;1;4;"Baixado"
1049;"Monitor.";"Sun Set Informática Ltda";"Samsung";"Mod ST 15 V 100 - 15""";;" - Baixa Patrimonial: Projeto de Resolução Nº 004/2006";"26/12/01";;57;39;1;4;"Baixado"
1050;"Monitor.";"Sun Set Informática Ltda";"Samsung";"Mod ST 15 V 100 - 15""";;;"26/12/01";;55;40;1;4;"Baixado"
1051;"Monitor.";"Sun Set Informática Ltda";"Samsung";"Mod ST 15 V 100 - 15""";;;"26/12/01";;55;40;1;4;"Baixado"
1052;"Monitor.";"Sun Set Informática Ltda";"Samsung";"Mod ST 15 V 100 - 15""";;;"26/12/01";;55;42;1;4;"Ativo"
1053;"Monitor.";"Sun Set Informática Ltda";"Samsung";"Mod ST 15 V 100 - 15""";;" - Baixa Patrimonial: Projeto de Resolução Nº 004/2006";"26/12/01";;57;39;1;4;"Baixado"
1054;"Monitor.";"Sun Set Informática Ltda";"Samsung";"Mod ST 15 V 100 - 15""";;;"26/12/01";;57;39;1;4;"Baixado"
1055;"Monitor.";"Sun Set Informática Ltda";"Samsung";"Mod ST 15 V 100 - 15""";;;"26/12/01";;55;40;1;4;"Baixado"
1056;"Monitor.";"Sun Set Informática Ltda";"Samsung";"Mod ST 15 V 100 - 15""";;;"26/12/01";;55;40;1;4;"Baixado"
1057;"Monitor.";"Sun Set Informática Ltda";"Samsung";"Mod ST 15 V 100 - 15""";;;"26/12/01";;55;40;1;4;"Baixado"
1058;"Monitor.";"Sun Set Informática Ltda";"Samsung";"Mod ST 15 V 100 - 15""";;;"26/12/01";;57;39;1;4;"Baixado"
1059;"Monitor.";"Sun Set Informática Ltda";"Samsung";"Mod ST 15 V 100 - 15""";;;"26/12/01";;57;39;1;4;"Baixado"
1060;"Microcomputador";"Sun Set Informática Ltda";"Star Computer";"P III - 1,0 Ghz - 128 Mb RAM - Hd 20 Gb - Gab Atx - Drive 1,44 - Pl vídeo 8Mb - Pl Fax 56 Kbps - Tecl Abnt2 - Mouse Serial Padrão - M B Asus tuv 4x ";;;"26/12/01";;55;40;1;4;"Baixado"
1061;"Microcomputador";"Sun Set Informática Ltda";"Star Computer";"P III - 1,0 Ghz - 128 Mb RAM - Hd 20 Gb - Gab Atx - Drive 1,44 - Pl vídeo 8Mb - Pl Fax 56 Kbps - Tecl Abnt2 - Mouse Serial Padrão - M B Asus tuv 4x ";;;"26/12/01";;55;40;1;4;"Baixado"
1062;"Microcomputador";"Sun Set Informática Ltda";"Star Computer";"P III - 1,0 Ghz - 128 Mb RAM - Hd 20 Gb - Gab Atx - Drive 1,44 - Pl vídeo 8Mb - Pl Fax 56 Kbps - Tecl Abnt2 - Mouse Serial Padrão - M B Asus tuv 4x ";;" - Baixa Patrimonial: Projeto de Resolução Nº 004/2006";"26/12/01";;57;39;1;4;"Baixado"
1063;"Microcomputador";"Sun Set Informática Ltda";"Star Computer";"P III - 1,0 Ghz - 128 Mb RAM - Hd 20 Gb - Gab Atx - Drive 1,44 - Pl vídeo 8Mb - Pl Fax 56 Kbps - Tecl Abnt2 - Mouse Serial Padrão - M B Asus tuv 4x ";;;"26/12/01";;57;39;1;4;"Baixado"
1064;"Microcomputador";"Sun Set Informática Ltda";"Star Computer";"P III - 1,0 Ghz - 128 Mb RAM - Hd 20 Gb - Gab Atx - Drive 1,44 - Pl vídeo 8Mb - Pl Fax 56 Kbps - Tecl Abnt2 - Mouse Serial Padrão - M B Asus tuv 4x ";;" - Baixa Patrimonial: Projeto de Resolução Nº 004/2006";"26/12/01";;57;39;1;4;"Baixado"
1065;"Microcomputador";"Sun Set Informática Ltda";"Star Computer";"P III - 1,0 Ghz - 128 Mb RAM - Hd 20 Gb - Gab Atx - Drive 1,44 - Pl vídeo 8Mb - Pl Fax 56 Kbps - Tecl Abnt2 - Mouse Serial Padrão - M B Asus tuv 4x ";;;"26/12/01";;55;40;1;4;"Baixado"
